"ID","Family","Tribe","Genus","Species","Latitude","Longitude","Coll_Year"
"PHOTO_190967001244499","Apidae","Xylocopini","Xylocopa","Xylocopa latipes",1.409598,103.921539,2018
"PHOTO_1946854862059846","Apidae","Xylocopini","Xylocopa","Xylocopa latipes",1.455586,103.818041,2018
"PHOTO_2362091927202802","Apidae","Xylocopini","Xylocopa","Xylocopa latipes",1.315194,103.815995,2019
"PHOTO_2542209345857725","Apidae","Xylocopini","Xylocopa","Xylocopa latipes",1.461665,103.809417,2019
"PHOTO_2609673185778007","Apidae","Xylocopini","Xylocopa","Xylocopa latipes",1.36201,103.777382,2019
"PHOTO_3440736172671700","Apidae","Xylocopini","Xylocopa","Xylocopa latipes",1.36376,103.947941,2020
"PHOTO_3508826605862656","Apidae","Xylocopini","Xylocopa","Xylocopa latipes",1.34194,103.72651,2020
"PHOTO_3703521376393177","Apidae","Xylocopini","Xylocopa","Xylocopa latipes",1.36201,103.777382,2021
"PHOTO_3898102013601778","Apidae","Xylocopini","Xylocopa","Xylocopa latipes",1.421955,103.863535,2021
"PHOTO_3895275043884475","Apidae","Xylocopini","Xylocopa","Xylocopa latipes",1.35716,103.82102,2021
"PHOTO_2141339842611346","Colletidae","","Hylaeus","Hylaeus penangensis",1.315194,103.815995,2019
"PHOTO_2766081866803804","Halictidae","Halictini","Lasioglossum","Lasioglossum albescens",1.409598,103.921539,2020
"PHOTO_10156109423096294","Halictidae","Halictini","Lasioglossum","Lasioglossum deliense",1.279088,103.799606,2017
"PHOTO_1669602586451743","Halictidae","Halictini","Lasioglossum","Lasioglossum deliense",1.390585,103.803225,2018
"PHOTO_1810559662356034","Halictidae","Halictini","Lasioglossum","Lasioglossum vagans",1.294126,103.846382,2018
"PHOTO_3728167873928527","Halictidae","Halictini","Lasioglossum","Lasioglossum vagans",1.41674,103.83848,2021
"PHOTO_3760851150660199","Halictidae","Halictini","Lasioglossum","Lasioglossum vagans",1.384448,103.746698,2021
"PHOTO_10155013911438660","Halictidae","Halictini","Lasioglossum","Lasioglossum adonidiae",1.41056,103.8334,2017
"PHOTO_10156134458226294","Halictidae","Halictini","Lasioglossum","Lasioglossum adonidiae",1.2852,103.79224,2017
"PHOTO_3911221735623139","Halictidae","Halictini","Lasioglossum","Lasioglossum adonidiae",1.35897,103.85053,2021
"PHOTO_2141339842611346","Halictidae","Halictini","Lasioglossum","Lasioglossum singapurellum",1.315194,103.815995,2019
"PHOTO_3888459147899398","Halictidae","Halictini","Patellapis","Patellapis murbanus",1.315194,103.815995,2021
"PHOTO_1914809791931020","Halictidae","Halictini","Sphecodes","Sphecodes sp. 2",1.30078,103.91218,2018
"PHOTO_1872638796398816","Halictidae","Nomiini","Lipotriches","Lipotriches ceratina",1.35999,103.82761,2017
"PHOTO_1661363760608959","Halictidae","Nomiini","Lipotriches","Lipotriches ceratina",1.35716,103.82102,2018
"PHOTO_1696553597089975","Halictidae","Nomiini","Lipotriches","Lipotriches ceratina",1.361694,103.723833,2018
"PHOTO_2296907683721227","Halictidae","Nomiini","Lipotriches","Lipotriches ceratina",1.35716,103.82102,2018
"PHOTO_3410224619056189","Halictidae","Nomiini","Lipotriches","Lipotriches ceratina",1.401472,103.817675,2020
